,object number,count,frequency
239,281.1998,3,0.00024129333226091852
240,158.1934.4,3,0.00024129333226091852
241,160.1958,3,0.00024129333226091852
242,141.1955,3,0.00024129333226091852
243,912.1964.17,3,0.00024129333226091852
244,201.1977.10,3,0.00024129333226091852
245,462.1985,3,0.00024129333226091852
246,890.1999,3,0.00024129333226091852
247,531.1990,3,0.00024129333226091852
248,374.1951.a11,3,0.00024129333226091852
249,181.1985.22,3,0.00024129333226091852
250,152.1989.5,3,0.00024129333226091852
251,428.1987.4,3,0.00024129333226091852
252,290.1984.1-3,3,0.00024129333226091852
253,941.1964.5,3,0.00024129333226091852
254,667.1999,3,0.00024129333226091852
255,630.1999,3,0.00024129333226091852
256,374.1939,3,0.00024129333226091852
257,308.1949.1-6,3,0.00024129333226091852
258,92.1968.46,3,0.00024129333226091852
259,1190.1999,3,0.00024129333226091852
260,62.1972,3,0.00024129333226091852
261,820.1999,3,0.00024129333226091852
262,671.1964.13,3,0.00024129333226091852
263,447.1956.a-c,3,0.00024129333226091852
264,374.1951.a05,3,0.00024129333226091852
265,238.1997,3,0.00024129333226091852
266,307.1984,3,0.00024129333226091852
267,411.1951,3,0.00024129333226091852
268,485.1953.a-b,3,0.00024129333226091852
269,256.1984.1-15,3,0.00024129333226091852
270,664.1954,3,0.00024129333226091852
271,193.1968,3,0.00024129333226091852
272,357.1950,3,0.00024129333226091852
273,979.1964.c01,3,0.00024129333226091852
274,680.1964.43,3,0.00024129333226091852
275,278.2001,3,0.00024129333226091852
276,1150.1999,3,0.00024129333226091852
277,685.1964.65,3,0.00024129333226091852
278,445.1997,3,0.00024129333226091852
279,145.1945.14,3,0.00024129333226091852
280,246.1987,3,0.00024129333226091852
281,206.1950,3,0.00024129333226091852
282,686.1995.1-5,3,0.00024129333226091852
283,293.1998,3,0.00024129333226091852
284,1445.2000,3,0.00024129333226091852
285,299.1957,3,0.00024129333226091852
286,596.1949.6,3,0.00024129333226091852
287,376.1951.9,3,0.00024129333226091852
288,sc75.1966,3,0.00024129333226091852
289,149.1996,3,0.00024129333226091852
290,85.1947,3,0.00024129333226091852
291,100.1947,3,0.00024129333226091852
292,584.1966.11,3,0.00024129333226091852
293,235.1998,3,0.00024129333226091852
294,591.1981,3,0.00024129333226091852
295,796.1999,3,0.00024129333226091852
296,90.1961,3,0.00024129333226091852
297,343.1947.12,3,0.00024129333226091852
298,sc31.1955.a-b,3,0.00024129333226091852
