index	artist	title	year	Medium	Dimensions	Credit	Object number	Copyright	Department	Manufacturer	Collaborating artist	Model maker	Printer	Engineer	Fabricator	Delineator	Publisher	Edition	Type	Portfolio
56	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.8	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
57	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.9	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
58	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.10	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
59	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.11	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
60	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.12	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
61	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.13	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
62	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.14	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
63	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.15	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
64	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.16	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
65	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.17	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
